"code             ","rgb             ","hex    ","name                  ","category                       "
"18-4334 TCX      ","rgb(20,120,167) ","#1478A7","Mediterranian Blue    ","Fashion and Interior Designers "
"18-6024 TCX      ","rgb(31,115,73)  ","#1F7349","Amazon                ","Fashion and Interior Designers "
"18-5620 TCX      ","rgb(34,108,99)  ","#226C63","Ivy                   ","Fashion and Interior Designers "
"18-5121 TCX      ","rgb(32,112,111) ","#20706F","Bayou                 ","Fashion and Interior Designers "
"17-4427 TCX      ","rgb(21,126,160) ","#157EA0","Bluejay               ","Fashion and Interior Designers "
"17-5421 TCX      ","rgb(16,135,128) ","#108780","Porcelain Green       ","Fashion and Interior Designers "
"17-4724 TCX      ","rgb(26,127,142) ","#1A7F8E","Pagoda Blue           ","Fashion and Interior Designers "
"17-0145 TCX      ","rgb(68,136,60)  ","#44883C","Online Lime           ","Fashion and Interior Designers "
"16-5123 TPX      ","rgb(26,154,157) ","#1A9A9D","Baltic                ","Fashion and Interior Designers "
"16-4427 TPX      ","rgb(40,163,196) ","#28A3C4","Horizon Blue          ","Fashion and Interior Designers "
"14-4522 TPX      ","rgb(67,188,216) ","#43BCD8","Bachelor Button       ","Fashion and Interior Designers "
"15-4722 TCX      ","rgb(68,187,202) ","#44BBCA","Capri                 ","Fashion and Interior Designers "
"16-6339 TPX      ","rgb(85,170,89)  ","#55AA59","Vibrant Green         ","Fashion and Interior Designers "
"15-5516 TPX      ","rgb(65,180,166) ","#41B4A6","Waterfall             ","Fashion and Interior Designers "
"15-5519 TCX      ","rgb(69,181,170) ","#45B5AA","Turquoise             ","Fashion and Interior Designers "
"14-4530 TN       ","rgb(77,198,226) ","#4DC6E2","Bluefish              ","Fashion and Interior Designers "
"19-1018 TCX      ","rgb(52,41,42)   ","#34292A","Ganache               ","Fashion and Interior Designers "
"19-3713 TCX      ","rgb(44,42,51)   ","#2C2A33","Deep Well             ","Fashion and Interior Designers "
"19-3924 TCX      ","rgb(42,42,53)   ","#2A2A35","Night Sky             ","Fashion and Interior Designers "
"19-3815 TCX      ","rgb(42,41,62)   ","#2A293E","Evening Blue          ","Fashion and Interior Designers "
"18-3940 TN       ","rgb(96,80,168)  ","#6050A8","Simply Purple         ","Fashion and Interior Designers "
"19-3850 TCX      ","rgb(77,68,138)  ","#4D448A","Liberty               ","Fashion and Interior Designers "
"18-3840 TPX      ","rgb(100,89,162) ","#6459A2","Purple Opulence       ","Fashion and Interior Designers "
"19-0303 TCX      ","rgb(45,44,47)   ","#2D2C2F","Jet Black             ","Fashion and Interior Designers "
"19-4005 TCX      ","rgb(43,44,48)   ","#2B2C30","Stretch Limo          ","Fashion and Interior Designers "
"19-4203 TCX      ","rgb(47,45,48)   ","#2F2D30","Moonless Night        ","Fashion and Interior Designers "
"19-3920 TCX      ","rgb(43,46,67)   ","#2B2E43","Peacoat               ","Fashion and Interior Designers "
"19-3810 TPX      ","rgb(45,46,73)   ","#2D2E49","Eclipse               ","Fashion and Interior Designers "
"19-3830 TPX      ","rgb(45,44,77)   ","#2D2C4D","Astral Aura           ","Fashion and Interior Designers "
"19-3933 TCX      ","rgb(41,48,78)   ","#29304E","Medieval Blue         ","Fashion and Interior Designers "
"19-4010 TCX      ","rgb(44,49,61)   ","#2C313D","Total Eclipse         ","Fashion and Interior Designers "
"19-3939 TCX      ","rgb(45,51,89)   ","#2D3359","Blueprint             ","Fashion and Interior Designers "
"19-4013 TCX      ","rgb(46,47,54)   ","#2E2F36","Dark Navy             ","Fashion and Interior Designers "
"19-4218 TCX      ","rgb(45,48,54)   ","#2D3036","Vulcan                ","Fashion and Interior Designers "
"19-4305 TPX      ","rgb(47,52,53)   ","#2F3435","Pirate Black          ","Fashion and Interior Designers "
"19-4021 TCX      ","rgb(44,51,62)   ","#2C333E","Blueberry             ","Fashion and Interior Designers "
"19-4122 TCX      ","rgb(41,59,77)   ","#293B4D","Moonlit Ocean         ","Fashion and Interior Designers "
"19-5212 TCX      ","rgb(48,61,60)   ","#303D3C","Darkest Spruce        ","Fashion and Interior Designers "
"19-5917 TPX      ","rgb(42,66,57)   ","#2A4239","Sycamore              ","Fashion and Interior Designers "
"19-4028 TCX      ","rgb(47,62,85)   ","#2F3E55","Insignia Blue         ","Fashion and Interior Designers "
"19-4121 TCX      ","rgb(44,64,83)   ","#2C4053","Blue Wing Teal        ","Fashion and Interior Designers "
"19-3938 TCX      ","rgb(49,61,100)  ","#313D64","Twilight Blue         ","Fashion and Interior Designers "
"19-0417 TPX      ","rgb(53,66,48)   ","#354230","Kombu Green           ","Fashion and Interior Designers "
"19-4906 TCX      ","rgb(50,66,65)   ","#324241","Green Gables          ","Fashion and Interior Designers "
"19-4726 TCX      ","rgb(39,78,85)   ","#274E55","Atlantic Deep         ","Fashion and Interior Designers "
"19-4126 TCX      ","rgb(41,73,92)   ","#29495C","Deep Dive             ","Fashion and Interior Designers "
"19-4055 TCX      ","rgb(42,75,124)  ","#2A4B7C","Galaxy Blue           ","Fashion and Interior Designers "
"18-4039 TCX      ","rgb(72,122,183) ","#487AB7","Regatta               ","Fashion and Interior Designers "
"19-5408 TPX      ","rgb(44,80,74)   ","#2C504A","Bistro Green          ","Fashion and Interior Designers "
"19-5513 TCX      ","rgb(49,79,64)   ","#314F40","Dark Green            ","Fashion and Interior Designers "
"19-4826 TPX      ","rgb(38,95,108)  ","#265F6C","Dragonfly             ","Fashion and Interior Designers "
"17-4041 TCX      ","rgb(79,132,196) ","#4F84C4","Marina                ","Fashion and Interior Designers "
"18-5616 TCX      ","rgb(50,91,81)   ","#325B51","Posy Green            ","Fashion and Interior Designers "
"19-5413 TPX      ","rgb(45,92,90)   ","#2D5C5A","Jasper                ","Fashion and Interior Designers "
